Citations,Auteur,Source,Thèmes,Nombre d'avis,Notes
"“Il faut savoir risquer la peur comme on risque la mort, le vrai courage est dans ce risque.”",Georges Bernanos,Dialogues des Carmélites,Courage,,
"“Il y a des jours où, pour juste se laisser vivre, il faut ramasser son courage à la petite cuillère.”",Anonyme,,Courage,,
“Félicitations. Politesse de la jalousie.”,Ambrose Bierce,Le dictionnaire du Diable,Jalousie,,
“La jalousie est un sentiment qui dérape !”,Jérôme Riquier,,Jalousie,,
“La curiosité naît de la jalousie.”,Molière,Don Garcie de Navarre,Jalousie,,
“La jalousie horrifie l'amour.”,Marcel Godin,La cruauté des faibles,Jalousie,,
“La jalousie est aussi une douleur physique.”,Daniel Poliquin,Visions de Jude,Jalousie,,
“La jalousie est une tendance naturelle.”,John Grisham,L'associé,Jalousie,,
"“Amour, amour ! Ton véritable nom est jalousie.”",Eugène Achard,Le Tombeau du mont Saint-Grégoire,Jalousie,55,3
"“L'amour fait naître la jalousie, mais la jalousie fait mourir l'amour.”",Christine de Suède,Maximes,Jalousie,27,4
"“La jalousie engendre le Mal… La jalousie, c'est le Mal !”",Agatha Christie,Le mystérieux Mr Quinn,Jalousie,,
"“La jalousie voit tout, excepté ce qui est.”",Xavier Forneret,,Jalousie,,
"“La jalousie, même rétrospective, est un ferment d'amour.”",Charlotte Savary,Le Député,Jalousie,,
"“La jalousie, cette preuve indiscutable de l'amour.”",Jean-Chaveau Hurtebise,Leur âme,Jalousie,,
“La jalousie est l'amour-propre de la chair.”,Etienne Rey,Maximes morales et immorales,Jalousie,,
"“La jalousie est un doute, la crainte est une petitesse.”",Honoré de Balzac,Le contrat de mariage,Jalousie,,
“L’amour sans jalousie est comme un Polonais sans moustache.”,Proverbe polonais,,Jalousie,,
“Un amour sans jalousie est un amour imparfait.”,Adrienne Maillet,De gré ou de force,Jalousie,50,3
“Il n'est de désir que dans la jalousie.”,Jacques Attali,Les trois mondes (pour une théorie de l'après-crise),Jalousie,,
“La jalousie est le tyran du royaume de l'amour. ”,Miguel de Cervantès,,Jalousie,,
"“La jalousie est un tyran, mais un tyran de l'esprit.”",John Dryden,,Jalousie,,
“La jalousie c'est l'agonie de l'amour.”,Calderon,,Jalousie,,
“Il y a dans la jalousie plus d’amour-propre que d’amour.”,François de La Rochefoucauld,,Jalousie,,
“Un peu de jalousie éveille un amour heureux qui s’endort.”,Madame Deshoulières,,Jalousie,,
“La jalousie seule m'a fait sentir que j'étais amoureux.”,Madame de La Fayette,Zaïde,Jalousie,,
"“La jalousie, c'est une preuve de coeur comme la goutte de jambes.”",Paul-Jean Toulet,,Jalousie,,
"“L'amour, sans la jalousie, n'est pas l'amour.”",Paul Léautaud,,Jalousie,,
“L'indifférence est peut-être la forme la plus raffinée de la jalousie.”,Eugène Cloutier,Croisière,Jalousie,,
"“Ce n'est pas l'amour qui est aveugle, mais bien la jalousie.”",Lawrence Durrell,Justine,Jalousie,,
“Qu’on se le dise la jalousie est un zèle égoïste et malheureux.”,André Comte-Sponville,,Jalousie,,
"“La jalousie est la seconde plus belle preuve d'amour, après le don de soi.”",TW,,Jalousie,,
“La jalousie dévore la vertu comme le feu dévore le fuel.”,Hazrat Ali,,Jalousie,,
“Il n'y a pas d'amour sans jalousie.”,George Sand,L'histoire de ma vie,Jalousie,,
“Il n'est d'amour sans fidélité... ni jalousie peut-être. ”,Jacques Chardonne,Romanesques,"Jalousie, Fidelite",,
“La dictature est la forme la plus achevée de la jalousie.”,Curzio Malaparte,Technique du coup d'Etat,Jalousie,,
“La jalousie qui se tait s'accroît dans le silence.”,Friedrich Nietzsche,"Humain, trop humain",Jalousie,,
"“La jalousie naît toujours avec l'amour, mais ne meurt pas toujours avec lui.”",François de La Rochefoucauld,Maximes,Jalousie,,
“La jalousie n'est pour une femme que la blessure de l'amour-propre.”,Anatole France,Le lys rouge,Jalousie,,
"“Il faut dans la vie,. Assaisonner l'amour d'un peu de jalousie.”",Jean-François Regnard,Les folies amoureuses,Jalousie,,
“La jalousie est un bien triste mot. L'envers d'un décor immortel.”,Les Négresses Vertes,Perpétuellement votre,Jalousie,,
“La jalousie est un vilain défaut. Accroché au revers de l'amour.”,Les Négresses Vertes,Perpétuellement votre,Jalousie,,
“Soif et concupiscence vont de pair ; partage et jalousie font mauvais ménage.”,Jacques Lamarche,Les Montagnes noires,Jalousie,,
"“La jalousie est le plus horrible des aveuglements, et le fruit défendu sera toujours le meilleur.”",Pamphile Lemay,Picounoc le maudit,Jalousie,,
"“Pour créer des besoins, il faut attiser la jalousie, la douleur, l’inassouvissement.”",Frédéric Beigbeder,99 francs,Jalousie,,
“La loyauté et la jalousie font la grandeur des chiens et le malheur des saints.”,Lao She,Un fils tombé du ciel,Jalousie,,
"“La jalousie des femmes est incommensurable, surtout lorsqu'elles restent entre elles.”",Camille Laurens,L'avenir,Jalousie,,
“Il n'est rien comme la jalousie pour absorber un être humain tout entier.”,Milan Kundera,La valse aux adieux,Jalousie,,
“Le théâtre est né de l'Eglise. Elle ne lui pardonnera jamais. Jalousie de métier.”,Sacha Guitry,Toutes réflexions faites,Jalousie,,
“La jalousie des autres peintres a toujours été le thermomètre de mon succès.”,Salvador Dali,Journal d'un génie,Jalousie,,
"“La jalousie aveugle un coeur atteint, et, sans examiner, croit tout ce qu'elle craint.”",Pierre Corneille,Le Menteur,Jalousie,,
"“La jalousie ne serait-elle pas un stimulant, une des ruses de la satiété ?”",Natalie Clifford Barney,Pensées d'une Amazone,Jalousie,,
“- Qu'est-ce que la jalousie ?. - C'est un clairon sur une table servie.”,Marcelle Ferry et André Breton,Documents - Juin 1934,Jalousie,,
"“Quand on avoue sa jalousie, on l’a déjà dépassée. Les vraies jalousies, on n’en parle pas.”",Alexandre Kauffmann,Influenza,Jalousie,,
“La jalousie n'est souvent qu'un inquiet besoin de tyrannie appliquée aux choses de l'amour.”,Marcel Proust,La prisonnière,Jalousie,,
"“La jalousie, c'est un manque d'estime pour la personne qu'on aime.”",Ivan Bounine,Le sacrement de l'amour,Jalousie,,
"“Il y a des gens qui fuient la jalousie par paresse, d'autres qui l'écartent par orgueil. ”",Tristan Bernard,,Jalousie,,
“Le premier effet de la jalousie est de rendre fidèle l'homme qui en est atteint. ”,Jean Dutourd,,Jalousie,,
"“La jalousie d'autrui a, du moins, cet avantage parfois de nous faire découvrir notre propre bonheur.”",Charles Regismanset,Le Livre de mes amis,Jalousie,,
“La jalousie est un monstre qui s'engendre lui-même et naît de ses propres entrailles.”,William Shakespeare,Othello,Jalousie,,
“La jalousie est pour la raison et le coeur ce que le cancer est pour le corps.”,Emmanuelle Arsan,Emmanuelle IV,Jalousie,,
“La jalousie d'un coeur de femme est l'obscure terreur que sa joie doit finir.”,Madame de Maintenon,Correspondance,Jalousie,,
“Est-ce une loi de la jalousie d'être toujours en retard d'un amant ?”,François Moreau,Les carnivores,Jalousie,,
“La jalousie peut rendre son homme bien ridicule lorsque celui-ci cesse de soupçonner tout le monde à la fois.”,François Moreau,Les Carnivores,Jalousie,,
"“La jalousie est mille fois plus terrible que la faim, parce que c'est une faim spirituelle.”",Miguel de Unamuno,,Jalousie,,
"“La jalousie n’est belle que sur un visage jeune et ardent. Après les premières rides, la confiance doit revenir.”",Alfred Capus,,Jalousie,,
"“Un jugement négatif vous satisfait plus encore qu'une louange, pourvu qu'il respire la jalousie.”",Jean Baudrillard,Cool Memories - 1980-1985,Jalousie,,
"“Il vaut mieux ne pas savoir, penser le moins possible, ne pas fournir à la jalousie le moindre détail concret.”",Marcel Proust,La Prisonnière,Jalousie,,
"“La jalousie fait mal, elle enfle et dégénère en sarcasmes : un peu comme une plaie qui s’infecte et suppure.”",Amos Oz,Soudain dans la forêt profonde,Jalousie,,
“La jalousie est comme un acide qui attaque d'abord le coeur du jaloux lui-même pour atteindre ensuite celui qu'il jalouse.”,Ostad Elahi,Maximes de guidance,Jalousie,,
"“La jalousie n'est qu'un sot enfant de l'orgueil, ou c’est la maladie d’un fou.”",Pierre-Augustin Caron de Beaumarchais,,Jalousie,,
“La jalousie est à coup sûr le plus fort agent de dépravation par les images dont elle obsède l'esprit.”,Anonyme,,Jalousie,,
"“La générosité incite à la jalousie. Plus les cadeaux sont acceptés avec plaisir, plus on regrette de les avoir faits. Ils vous éclipsent.”",Henri Fauconnier,Malaisie,Jalousie,,
"“Toute jalousie est sans profit, car en cherchant ce qui peut nuire à autrui, elle perd de vue son propre intérêt.”",Démocrite,Fragments,Jalousie,,
“Tel est bien le malheur profond de la jalousie que de ne pouvoir s'exprimer sans attirer la haine ou le mépris.”,Eugène Cloutier,Les témoins,Jalousie,,
“La jalousie. Faire semblant de ne pas s'intéresser. Se duper soi-même. Cacher son mal pour mieux l'ignorer.”,André Mathieu,Complot,Jalousie,,
"“Ce qui rend la douleur de la jalousie si aiguë, c'est que la vanité ne peut aider à la supporter.”",Stendhal,De l'amour,Jalousie,,
"“Celui qu'entoure la flamme de la jalousie, celui-là en fin de compte, pareil au scorpion, tourne contre lui-même son dard empoisonné.”",Friedrich Nietzsche,,Jalousie,,
“Le riz qui est dans ton grenier est ton ennemi parce qu’il excite la jalousie de ceux qui n’en ont pas.”,Proverbe thaï,,Jalousie,,
"“L'amour ouvre les portes de la joie, de la haine, de la jalousie, et de la peur.”",Oliver Wendell Holmes,"Une haine mortelle, 1885",Jalousie,,
"“La jalousie d'un homme est comme celle d'un enfant, violente et absurde, sans profondeur.”",Daphné du Maurier,Ma cousine Rachel,"Jalousie, Absurde",,
“La jalousie est un sentiment que l'amitié n'éteint pas toujours. Rien de si difficile à pardonner que le mérite.”,Denis Diderot,Jacques le Fataliste et son maître,Jalousie,,
"“Oh ! Attention, monseigneur, à la jalousie ; c'est le monstre aux yeux verts qui tourmente la proie dont il se nourrit.”",William Shakespeare,Othello,Jalousie,,
“Les femmes ne peuvent jamais se décider entre la fierté d'inspirer de la jalousie et l'ennui d'en supporter les conséquences.”,Etienne Rey,De l'Amour de Stendhal,Jalousie,,
“Un amour qui a passé par la jalousie est comme un joli visage qui a passé par la petite vérole : il est toujours un peu grêlé.”,Paul Bourget,,Jalousie,,
"“La jalousie, passion éminemment crédule, soupçonneuse, est celle où la fantaisie a le plus d'action ; mais elle ne donne pas d'esprit ; elle en ôte.”",Honoré de Balzac,Pierrette ou le curé de Tours,Jalousie,,
"“La jalousie est le plus grand de tous les maux, et celui qui fait le moins de pitié aux personnes qui le causent.”",François de La Rochefoucauld,Maximes,Jalousie,,
"“Les maladies qui proviennent de la méchanceté du coeur féminin sont : une indocilité sans modestie, la colère facile, le goût de médire, la jalousie, l'intelligence courte.”",Kaïbara Ekikenn,La grande Science pour les femmes,"Jalousie, Colere",,
“La jalousie finit ainsi faute d'aliments et n'a tant duré qu'à cause d'en avoir réclamé sans cesse.”,Marcel Proust,La prisonnière,Jalousie,,
“La jalousie possède l'étonnant pouvoir d'éclairer l'être unique d'intenses rayons et de maintenir les autres hommes dans une totale obscurité.”,Milan Kundera,La Valse aux adieux,Jalousie,,
"“L'amitié entre homme et femme est délicate, c'est encore une manière d'amour. La jalousie s'y déguise. ”",Anonyme,,Jalousie,,
"“Le socialisme est une philosophie de l’échec, un principe de l’ignorance et l’évangile de la jalousie.”",Winston Churchill,"discours à la conférence des Unionistes écossais, 28 mai 1948",Jalousie,10,4
"“L'envie c'est la douleur de voir autrui posséder ce que nous désirons ; la jalousie, de le voir posséder ce que nous possédons.”",Diogène Laerce,,Jalousie,,
“La jalousie est de toutes les maladies de l'esprit celle à qui le plus de choses servent d'aliment et le moins de choses de remède.”,Michel de Montaigne,Essais,Jalousie,,
"“La jalousie ne permet jamais de voir les choses telles qu'elles sont. Les jaloux voient le réel à travers un miroir déformant qui grossit les détails insignifiants, transforme les nains en géants et les soupçons en vérité.”",Miguel de Cervantès,,Jalousie,,
"“Le remède de la jalousie est la certitude de ce qu'on craint, parce qu'elle cause la fin de la vie ou la fin de l'amour.”",François de La Rochefoucauld,Maximes,Jalousie,,
"“Les jaloux sont comme les fous et les ivrognes, ils ne se rendent jamais compte de leurs souffrances. La jalousie provient d'un manque de confiance non pas envers l'autre, mais envers soi-même.”",Eugène Cloutier,Les témoins,Jalousie,,
"“On a honte d'avouer qu'on a de la jalousie, et l'on se fait honneur d'en avoir eu et d'être capable d'en avoir.”",François de La Rochefoucauld,,Jalousie,,
"“La jalousie gouverne le monde. Sans elle, il n’y aurait ni amour, ni argent, ni société. Personne ne lèverait le petit doigt. Les jaloux sont le sel de la terre.”",Frédéric Beigbeder,Vacances dans le coma,Jalousie,,
"“Qui vit sans jalousie, en ce bas monde, est comme. Celui qui dort sans lampe ; il peut sentir le bras. Qui vient pour le frapper, mais il ne le voit pas.”",Alfred de Musset,Portia,Jalousie,,
"“On a toujours la possibilité de se défendre contre la haine, la médisance, la jalousie. On ne peut rien contre les bons sentiments. Ils paralysent les forces vives comme la glu colle les pattes des mouches trop aventureuses.”",Philippe Bouvard,Journal,Jalousie,,
"“Tels sont les quatre âges de l'amour : il naît dans les bras du dédain, il croît sous la protection du désir, il s'entretient avec les faveurs et meurt empoisonné par la jalousie. ”",Calderon,Le pire n'est pas toujours certain,Jalousie,,
"“Si l'homme connaissait toutes ses passions et pouvait les contrôler, quel univers lugubre nous aurions ! La beauté de l'amour, de la jalousie, de la haine n'est due qu'à l'imprévisible...”",Jean-Paul Hamel,Quatre Fois rien,Jalousie,,
"“Si vous voulez connaître la lie des sentiments humains, penchez-vous sur les sentiments que nourrissent les femmes envers les autres femmes : vous frissonnerez d'horreur devant tant d'hypocrisie, de jalousie, de méchanceté, de bassesse.”",Amélie Nothomb,Hygiène de l'assassin,Jalousie,,
"“Il ne faut jalouser personne ; car les hommes de bien ne méritent pas d'être jalousés, et les hommes mauvais, plus leur fortune est bonne, plus ils se corrompent eux-mêmes.”",Epicure,Sentences vaticanes,Jalousie,,
"“La jalousie est une telle passion, qu'il vient un moment où sur la trace d'une trahison, on entrevoit, on pressent une telle jouissance dans la vengeance qu'on est désappointé de trouver innocente la femme que l'on soupçonnait.”",Alphonse Karr,,"Jalousie, Trahison",,
"“Pratiqué avec sérieux, le sport n'a rien à voir avec le fair-play. Il déborde de jalousie haineuse, de bestialité, du mépris de toute règle, de plaisir sadique et de violence ; en d'autres mots, c'est la guerre, les fusils en moins.”",George Orwell,,Jalousie,,
"“Il arrive un temps dans l’éducation de tout homme où il acquiert la conviction que la jalousie est de l’ignorance ; que l’imitation est du suicide ; et que, pour le meilleur et pour le pire, il doit en prendre sa part.”",Ralph Waldo Emerson,Self-Reliance,Jalousie,,
"“La fatigue est une des choses au monde les plus intéressantes à penser. Elle est comme la jalousie, comme le mensonge ou comme la peur. Elle est comme ces choses impures que l’on tient loin de ses yeux. Comme ces choses elle nous fait toucher terre.”",Christian Bobin,Une Petite Robe de fête,Jalousie,,
"“- Vous aimez les femmes jalouses ou les autres ?. 
- Quelles autres ?”",Anonyme,,Jalousie,,
"“La fin des jalousies, c'est l'indifférence. ”",Yves Navarre,,Jalousie,,
"“Les femmes sont jalouses de tout, et même du malheur.”",André Suarès,Variables,Jalousie,,
“Les femmes jalouses sont les plus trompées.”,Claire Martin,Avec ou sans amour,Jalousie,,
“Il est quelquefois agréable à un mari d’avoir une femme jalouse ; il entend toujours parler de ce qu’il aime.”,François de La Rochefoucauld,,Jalousie,,
“Il est plus difficile de ne pas jalouser un ami heureux que d’être généreux envers un ami dans le malheur.”,Alberto Moravia,Nouvelles romaines,Jalousie,,
"“Familles je vous hais ! Foyers clos, portes refermées, possessions jalouses du bonheur.”",André Gide,Les Nourritures terrestres,Jalousie,,
"“La renommée est un instrument à vent que font résonner les soupçons, les jalousies, les conjectures.”",William Shakespeare,Henri V,Jalousie,,
"“Le dilemme c'est que l'homme n'aime pas tellement partager . Et si nous étions tous riches, et bien on se jalouserait.. ”",Anonyme,,Jalousie,,
"“Une véritable passion se doit d'être solitaire, farouche, jalouse de toute activité sans rapport direct avec elle.”",Alain Gagnon,Isle ou Salmacis avortée,"Jalousie, Passion",,
“Sait-on ce que c'est qu'écrire ? Une ancienne et très vague mais jalouse pratique dont gît le sens au mystère du coeur.”,Stéphane Mallarmé,Quelques médaillons et portraits en pied,Jalousie,,
"“Oui, jalouse, je le suis, comme je l'ai été avec chaque homme que j'ai aimé”",Valérie Trierweiler,Merci pour ce moment,Jalousie,,
"“Avec ma guitare, on fait un joli petit couple, on ne s'est jamais engueulés, elle n'est pas jalouse...”",Louis Bertignac,"Rock Ur Life, 10 septembre 2014",Jalousie,,
"“Dans l'amour véritable, il n'y a pas de place pour les divisions du temps, de la pensée, et de toutes les complexités de la vie, ni pour toutes les misères, les confusions, l'incertitude, les jalousies et les angoisses humaines.”",Jiddu Krishnamurti,Dernier journal,Jalousie,,
“Un jaloux trouve toujours plus qu’il ne cherche.”,Madeleine de Scudéry,De la jalousie,Jalousie,,
“Une passion naissante et combattue éclate ; un amour satisfait sait se cacher.”,Voltaire,La jalousie,"Jalousie, Passion",,
"“Non seulement on est jaloux dès qu'on aime, mais on est jaloux avant d'aimer.”",Madeleine Chapsal,La Jalousie,Jalousie,,
"“Rien ne sert de faire des suppositions contraires, puisque les choses sont ce qu'elles sont : on ne change rien à la réalité.”",Alain Robbe-Grillet,La jalousie,Jalousie,,
"“Quand on attaque Depardieu, il faut une filmographie solide.”",Fabrice Luchini,Sud Ouest du 20/12/2012 à propos de la critique de Philippe Torreton dans Libération du 17/12/2012,"Jalousie, Absurde",317,3
“L’art est de cacher l’art.”,Proverbe français,,Art,13,3
“L'art pour l'art.”,Anonyme,Metro Goldwyn Mayer,Art,3,4
“Soyez simple avec art.”,Nicolas Boileau,L'art poétique,Art,3,5
“Musique. Art du silence.”,Jean Ethier-Blais,Le Manteau de Rubén Dario,"Art, Silence",14,2
“L’art de plaire est l’art de tromper.”,Vauvenargues,Réflexions et maximes,"Art, Paraitre",45,4
“Savoir écouter est un art. ”,Epictète ,,Art,16,4
“L’art sauvera le monde.”,Fiodor Dostoïevski ,,Art,22,4
"“Qui dit art, dit mensonge.”",Honoré de Balzac ,,Art,18,3
“En art point de frontière.”,Victor Hugo,Tas de pierres,Art,8,4
“L’art aide à vivre.”,Eric-Emmanuel Schmitt,Evene,Art,7,3
"“En art, toute répétition est nulle.”",José Ortega y Gasset,La déshumanisation de l'art,Art,1,1
“L'art nègre ? Connais pas. ”,Pablo Picasso,,Art,20,3
“L’art est le département des aberrations.”,L. Langanesi,,Art,2,2
“La jeunesse est un art.”,Oscar Wilde,,Art,22,4
“L'art venge la vie.”,Luigi Pirandello ,,Art,2,5
“L'art commence avec la difficulté.”,André Gide ,,Art,2,5
“L’humour est un art d’exister.”,Robert Escarpit ,,Art,15,3
“L'art véritable est anticipateur.”,Saint-Pol-Roux,Les féeries intérieures,Art,2,3
“L'art est une sottise. ”,Jacques Vaché,Lettres de guerre,Art,,
“L’art est un jeu d’enfant.”,Max Ernst ,,Art,12,4
“L'art véritable est sans intention.”,Paul Ohl,Katana,Art,2,3
“L’architecture est art de suggestion.”,Daniel Pennac,La Petite Marchande de prose,Art,3,4
“Jouir de la foule est un art.”,Charles Baudelaire,Le Spleen de Paris ,Art,18,4
“La poésie est un art de vivre.”,Pierre Dehaye,Naître est une longue patience,Art,3,3
"“Dans l’Art, la Vie seule intéresse.”",Alphonse Allais,A se tordre,Art,,
“L’art n’est pas un mensonge.”,Gustave Flaubert,"Correspondance, 1847 - 1852",Art,,
“Le cinéma est l’art du pauvre.”,Nicolas Boukhrief,Studio Magazine - Avril 2004,Art,,
“Il y a un art de savoir et un art d'enseigner. ”,Cicéron,,Art,,
“L’art de vivre c’est l’art de croire aux mensonges.”,Cesare Pavese,,Art,,
"“L'art, est ce qui rend la vie plus intéressante que l'art.”",Robert Filliou,,Art,,
"“L'art de jouer la comédie, c'est l'art de se détendre.”",Charlie Chaplin,Ma Vie,Art,5,5
“L’art de peindre n’est que l’art d’exprimer l’invisible par le visible.”,Eugène Fromentin,Les Maîtres d’autrefois,Art,,
“Savoir l’art de plaire ne vaut pas tant que savoir plaire sans art.”,Jean-Louis Guez de Balzac,Lettre,Art,,
“On doit être une oeuvre d'art ou porter une oeuvre d'art. ”,Oscar Wilde,Phrases et philosophies,Art,,
“L’Art est sexuel ou n’est pas... L’Art est consolateur ou n’est pas.”,Denis Huisman,L’esthétique,Art,,
"“Tout art s'apprend par art, la seule poésie est un pur don céleste.”",Guillaume Du Bartas,L'Uranie,"Art, Art",,
"“Gagner de l’argent est un art, travailler est un art et faire de bonnes affaires est le plus bel art qui soit.”",Andy Warhol ,,Art,26,2
"“L'art et rien que l'art, nous avons l'art pour ne point mourir de la vérité.”",Friedrich Nietzsche,,Art,,
"“L'art ! L'art !... L'art humain aura beau faire, il ne sera jamais qu'artificiel. Il ne vaudra jamais la vie.”",Georges Bugnet,La forêt,Art,,
“La chanson est l’Art de l’Instant.”,Charlélie Couture,,Art,,
“La sagesse est l'art de vivre.”,Cicéron,,"Art, Sagesse",,
“La simplicité est le principe de l'art.”,Bruce Lee ,,Art,13,4
“La Sagesse est l'art des expériences.”,Claude Thomass,,"Art, Sagesse",,
“Tout l'art est dans le hasard.”,Aglaé Auclaire,,Art,,
“Tout art est une imitation de la nature.”,Sénèque,,Art,,
"“L’art ne reproduit pas le visible, il rend visible.”",Paul Klee,Théorie de l'art moderne,Art,,
"“L’art, c’est le pressentiment de la vérité.”",Alexandre Blok,Calepin,Art,,
"“Une oeuvre d’art, c’est un monceau de cicatrices.”",Jean Lurçat,,Art,,
"“Mon métier et mon art, c'est vivre. ”",Michel de Montaigne,Essais,Art,,
"“Le bonheur est un art à pratiquer, comme le violon.”",John Lubbock,,Art,,
"“Aune, ciseaux ne font l'art du tailleur.”",Lu Yu,,Art,,
“On ne peut atteindre les limites de l'art.”,Ptahhotep,Yoyotte,Art,2,3
“Un beau désordre est un effet de l'art. ”,Nicolas Boileau,,Art,,
"“Le luxe, c'est l'art des imbéciles. ”",Henri Duvernois,,Art,,
“La méditation est l’art majeur de l’être humain.”,Jiddu Krishnamurti,,Art,,
"“Ce qu'art ne peut, hasard achève.”",Proverbe français,,Art,,
“L’art lave notre âme de la poussière du quotidien.”,Pablo Picasso,,Art,,
"“L’art c’est moi, la science c’est nous.”",Claude Bernard,,Art,,
“La politique est l'art des compromissions.”,Joseph Pelletier,La Gerbée,Art,,
"“Le théâtre est un art du conflit, du polémique.”",André Steiger,,"Art, Theatre",,
“La haute couture : de l'art portable.”,Sophia Sida,,Art,,
“L’art ne peut pas changer la vie.”,Michel Houellebecq,Plateforme,Art,,
“On ne saurait trop étudier l'art de mourir.”,Proverbe scandinave,,Art,,
"“Si ça se vend, c’est de l’art !”",Frank Lloyd Wright,,Art,,
“L'art est avant tout un combat politique.”,Frédéric Vignale,,Art,,
“L’art est fait pour troubler. La science rassure.”,Georges Braque,Le Jour et la nuit,Art,,
“Tout art tire son origine d'un défaut exceptionnel.”,Maurice Blanchot,Le livre à venir,Art,,
“L'art d'écrire précède la pensée.”,Alain,Propos de littérature,Art,,
“Oeuvre d’art : un arrêt du temps.”,Pierre Bonnard,Carnets,Art,,
“L’art est le plus beau des mensonges.”,Claude Debussy,"Monsieur Croche, antidilettante",Art,,
“L’art recèle toujours des évocations de la condition mortelle.”,Mark Rothko,,Art,,
"“En art comme en amour, l'instinct suffit.”",Anatole France,,Art,,
“La patience est l'art d'espérer.”,Vauvenargues,Réflexions et maximes,"Art, Patience",,
“La vie peut être considérée comme un art.”,Henry Havelock Ellis,La dame de la vie,Art,,
"“Parler est un besoin, écouter est un art.”",Johann Wolfgang von Goethe,,Art,,
“La vie est une oeuvre d'art.”,Georges Clemenceau,L’homme libre,Art,,
“L'art est le culte de l'erreur.”,Francis Picabia,Écrits,Art,,
“L'art tragique tient les âmes en alerte.”,Robert Kemp,Lectures dramatiques,Art,,
“Par l’art seulement nous pouvons sortir de nous-mêmes.”,Marcel Proust,Le temps retrouvé,Art,8,4
“J’enseigne l’art de tourner l’angoisse en délice.”,Georges Bataille,Somme athéologique,Art,,
“L'art de voir est la seule vérité.”,Jiddu Krishnamurti,L'éveil de l'intelligence,Art,,
“L'art est un mode de survie.”,Francine Noël,"Babel, prise deux",Art,,
“La comédie est un art. La tragédie une facilité.”,Jacques Godbout,L'aquarium,Art,,
“Mentir est un art. Ne réussit pas qui veut.”,Ernest Ouellet,Multipliez-vous,Art,,
“L'art est un produit pharmaceutique pour imbéciles.”,Francis Picabia,Ecrits,Art,,
"“Le public, c'est le suffrage universel en art.”",Jules Renard,,Art,,
“Le dessin est la probité de l'art.”,Jean-Auguste Ingres,,Art,,
"“La photographie, c'est un art charmant et abominable.”",Julien Duvivier,Panique,Art,,
“Lire au lit est un art de la vigilance.”,Jean-Marie Gourio,Chut !,Art,,
“L'art est l'habileté réduite en théorie.”,Joseph Joubert,Pensées,Art,,
"“En art, toute valeur qui se prouve est vulgaire.”",Anonyme,,Art,,
"“L’humour, c’est un art martial.”",Fellag,Les Inrocks - 31 Juillet 2002,Art,,
“La mémoire est l'art magique de la composition.”,Hélène Grimaud,Variations sauvages,Art,,
“En art tout ce qui se justifie est vulgaire.”,Eric Hossam,Beast Seller,Art,,
“Le cinéma est un art populaire.”,Pierre Jolivet,"Figaro, 8 avril 2015",Art,,
“L’art est une manifestation d’amour.”,Ariane Angeloglou,Petit Dictionnaire de l’amour,Art,,
“Ne jamais être content : tout l'art est là.”,Jules Renard,Journal,Art,,
"“L'art, ce consolateur des misères humaines !”",François Ponsard,L'honneur et l'argent,Art,,
“Toute science commence comme philosophie et se termine en art.”,Will Durant,Histoire de la philosophie,Art,8,4
“Diplomatie. L'art patriotique de mentir pour son pays.”,Ambrose Bierce,Le Dictionnaire du diable,Art,,
"“La critique, art aisé, se doit d’être constructive.”",Boris Vian,Chroniques du menteur,Art,,
"“Cinématographe, art militaire. Préparer un film comme une bataille.”",Robert Bresson,Notes sur le cinématographe,Art,3,2
“La création est l'art de prédire son passé.”,Jean Cayrol,Il était une fois Jean Cayrol,Art,,
“Le génie en art consiste à se laisser aller...”,Jean-Marie Poupart,Que le diable emporte le titre,Art,,
“La discipline de l'art exige de la liberté.”,Stanislaw Jerzy Lec,Nouvelles pensées échevelées,Art,,
“L'art de la réussite est celui des réconciliations.”,Jacques Deval,Afin de vivre bel et bien,"Art, Reussite",,
“L'art c'est la science faite clair.”,Anonyme,,Art,,
“L'art est un anti-destin.”,André Malraux,La monnaie de l'absolu,"Art, Destin",,
“La vie commune est un art très difficile à apprendre.”,Paul Claudel,Conversations dans le Loir-et-Cher,Art,,
“La mode est avant tout un art du changement.”,John Galliano,L'Express - 2 Janvier 2003,Art,,
“L’art ne s’apprend pas : il s’attrape.”,Didier Le Pêcheur,Les Hommes immobiles,Art,,
“L’art est assez élastique pour tirer vers l’infini.”,Marc-Olivier Wahler,Evene.fr - Septembre 2006,Art,,
“L’art est une visite du temps.”,Ariane Angeloglou,Petit Dictionnaire de l’amour,Art,,
“L’État est incompétent en matière d’art.”,Gustave Courbet,,Art,,
“L’art ne transforme pas. Il formule.”,Roy Lichtenstein,,Art,,
“L'art de la citation est l'art de ceux qui ne savent pas réfléchir par eux-même.”,Voltaire,,Art,45,4
"“L'art de la conversation, c'est aussi l'art de savoir se taire.”",Gérard Cohen,,Art,,
“La Vie imite l'Art bien plus que l'Art n'imite la Vie.”,Oscar Wilde,La décadence du mensonge,Art,21,4
“Le grand art d'être heureux n'est que l'art de bien vivre.”,Jean-François Ducis,Epître à M. Droz,Art,,
“L'art d'être tantôt très audacieux et tantôt très prudent est l'art de réussir.”,Napoléon Bonaparte ,,Art,25,4
"“Tout livre est l'art d'un homme, mais la nature est l'art de Dieu.”",Bernardin de Saint-Pierre,La  Chaumière indienne,Art,,
