Citations,Auteur,Source,Thèmes,Nombre d'avis,Notes
“La vertu fascine mais il y a toujours en nous l’espoir de la corrompre.”,L. Langanesi,,Espoir,,
"“Quelle responsabilité que d'écrire ! Donner de l'espoir sans motif, décourager sans raison.”",Jacques Chardonne,,Espoir,,
“L’espoir signifie avoir des expectatives quand la situation est autrement désespérée.”,Gilbert Keith Chesterton,,Espoir,,
"“Le désir parfois ne rend pas clairvoyant, parce qu'il y a l'espoir...”",Suzanne Robert,Vulpéra,Espoir,,
“L'espoir est un sentiment qui ne meurt qu'avec l'homme.”,Reine Malouin,Vertige,Espoir,,
"“A force de traîner un espoir, on finit par l'user.”",Madeleine Leblanc,La muraille de brume,Espoir,,
"“Quand il n’y a plus de chance, il y a encore l’espoir.”",Jean-Michel Ribes,Batailles,Espoir,,
“On est peu de chose devant une vaine lueur d'espoir.”,Alexandre Millon,La ligne Blanche,Espoir,,
“L’espoir est un scepticisme. C’est douter du malheur un instant.”,Paul Valéry,,Espoir,,
“Qu’importe une génération sacrifiée s’il reste l’espoir des suivantes !”,Isabelle Sorente,L,Espoir,,
“Il n'y a plus d'espoir mais beaucoup de futur.”,Marc Gendron,Opération New York,Espoir,,
"“Aimer lire est une passion, un espoir de vivre davantage, autrement, mais davantage que prévu.”",Georges Perros,,"Espoir, Passion",,
"“L’espoir garde le pauvre en vie, la peur tue le riche.”",Proverbe scandinave,,Espoir,,
“L'espoir luit comme un brin de paille dans l'étable.”,Paul Verlaine,,Espoir,,
“L’espoir est une bulle irisée qui colore fugitivement la vie.”,Jean Mauduit ,,Espoir,2,5
“Vivre avec l’espoir est une vie qui en vaut bien d’autres.”,Blaise Pascal,,Espoir,,
“La fontaine de l’espoir ne tarit jamais dans le cœur des hommes.”,Daphné du Maurier,La poupée,Espoir,,
“Peu d’espoir est permis à celui qui est trop paresseux pour se faire des ennemis.”,Robert C. Edwards,Révélations,Espoir,,
“Il n'est pire servitude que l'espoir d'être heureux.”,Carlos Fuentes,Diane ou La chasseresse solitaire,Espoir,,
“Chanter dans l’noir pour ne pas avoir peur. Unique espoir pour un homme de couleur.”,Claude Nougaro,Harlem,Espoir,,
"“L'espoir fait vivre, mais comme sur une corde raide.”",Paul Valéry,Mauvaises pensées et autres,Espoir,,
"“Celui qui se veut triomphant, l'espoir est dans sa main.”",Mihaly Vörösmarty,La Coupe d'amertume,Espoir,,
"“Oter l'espoir au vice, c'est donner des armes à la vertu.”",Duc de Lévis,Réflexions,Espoir,,
"“Ciel rouge le soir. Laisse bon espoir ;. Ciel rouge le matin,. Pluie en chemin.”",Proverbe français,,Espoir,,
“Notre espoir réside désormais dans la résistance de notre être face aux prévisions de notre esprit.”,Enrique Vila-Matas,,Espoir,,
"“Aimer sans espoir, être dégoûté de la vie, constituent aujourd'hui des positions sociales.”",Honoré de Balzac,Histoire des treize,Espoir,,
"“Le désir, le souvenir, l'espoir. Les trois temps d'un amour.”",Hélène Ouvrard,L'Herbe et le varech,Espoir,,
"“L'enfer, c'est l'attente sans espoir.”",André Giroux,"Malgré tout, la joie",Espoir,,
“Attendre c'est être entre l'immobilité et l'espoir.”,Pauline Michel,Les Yeux d'eau,Espoir,,
“L'espoir est une belle femme que l'on courtise.”,Gérard Gévry,L'homme sous vos pieds,Espoir,,
“L'imagination a été inventée pour alimenter l'espoir.”,Roger Fournier,Journal d'un jeune marié,Espoir,,
“Il y a un espoir souverain dans les yeux des jeunes filles.”,Marie-Claire Blais,Les Voyageurs sacrés,Espoir,,
“L'espoir est le désir mais ouvert à la peur.”,Georges Bataille,L'au-delà du sérieux,Espoir,,
“C'est parfois d'une situation désespérée que jaillit l'espoir.”,Lao She,Un fils tombé du ciel,Espoir,,
“L'espoir est le seul refuge de l'instinct maternel.”,Lao She,Un fils tombé du ciel,Espoir,,
“Le chaos est rempli d’espoir parce qu’il annonce une renaissance.”,Coline Serreau,avec Isabelle Alonso - Octobre 2001,Espoir,,
“Utiliser la raison sans espoir de profit est une attitude purement sentimentale.”,Roland Topor,Pense-bêtes,Espoir,,
"“Quand le peuple perd l'espoir, sa colère finit toujours par s'exprimer.”",Jacques Chirac,La France pour tous,"Espoir, Colere",,
“Dans la nuit noire. Tôt ou tard . Va briller un espoir . Et germer ta victoire.”,Françoise Hardy,Contre Vents et marées,Espoir,,
"“Tant qu'il y a de l'espoir, il y a de la vie !”",Jean Prieur,Les maîtres de la pensée positive,Espoir,,
“Le vieillard le plus âgé garde toujours l’espoir d’allonger sa vie d’un lendemain.”,Jonathan Swift,Les voyages de Gulliver,Espoir,,
“Chaque pas mène vers un résultat escompté ; l’espoir se mesure au degré de combativité.”,Fatou Diome,Le Ventre de l’Atlantique,Espoir,4,5
"“La poésie ne doit pas périr. Car alors, où serait l’espoir du Monde ?”",Léopold Sédar Senghor,,Espoir,,
"“Apprendre, partager, tant qu’y a de l’échange, y’a de l’espoir.”",Grand Corps Malade,Je dors sur mes deux oreilles,Espoir,,
“C'est du fond de la caverne que naît l'espoir.”,Michaël Sebban,Evene.fr - Juin 2006,Espoir,,
"“Avec le temps, un mystère sans espoir de révélation devient une frustration.”",Ronald Wright,Chronique des jours à venir,Espoir,,
"“L’espoir vient des enfants, de l’amour et des livres.”",Ariel Kenig,Evene.fr - Avril 2007,Espoir,,
"“Certains n'ont jamais le moindre espoir, d'autres le perdent éternellement.”",Stanislaw Jerzy Lec,Nouvelles pensées échevelées,Espoir,,
“Dans toutes les larmes s’attarde un espoir.”,Simone de Beauvoir,Les Mandarins,Espoir,,
“On n'est jamais aussi seul que lorsqu'on est sans espoir. Surtout lorsqu'on n'a plus d'espoir de pouvoir rompre le cercle de sa solitude.”,Marc-André Poissant,Le divorcé ou la naissance d'un comédien,Espoir,,
“On se réfugie dans ce qu'on ignore. On s'y cache de ce qu'on sait. L'inconnu est l'espoir de l'espoir.”,Paul Valéry,Tel quel,Espoir,,
"“La tragédie, c’est gratuit. C’est sans espoir. Ce sale espoir qui gâche tout. Enfin, il n’y a plus rien à tenter. C’est pour les rois la tragédie.”",Sorj Chalandon,Le quatrième mur,Espoir,,
“Espoir aveugle et vain. Qui émane des cieux. Pour duper les humains. De sa forme de Dieu !”,Mihaly Csokonai Vitéz,A l'espoir,Espoir,,
"“On n’est pas orphelin d’avoir perdu père et mère, mais d’avoir perdu l’espoir.”",Proverbe malien,,Espoir,,
“Il n'est pas de punition plus terrible que le travail inutile et sans espoir.”,Albert Camus,Le mythe de Sisyphe,Espoir,,
“Il n'y a pas de répression de l'espoir ; à moins de l'étouffer soi-même.”,Jean-Claude Clari,Le Mot chimère a deux sens,Espoir,,
"“L’espoir est la plus grande entrave à la vie. En prévoyant demain, aujourd’hui se perd.”",Sénèque,,Espoir,,
